#{"t_start": 1707661949.4198241, "env_id": "None"}
r,l,t
-38.185886,239,27.965069
-39.597206,239,27.965213
-51.6096,239,27.965231
-33.052185,239,27.965253
-26.151505,239,27.965265
-35.20391,239,27.965277
-34.81834,239,27.965288
-27.842367,239,27.965301
-33.308712,239,27.965312
-48.03945,239,27.965323
-25.243454,239,27.965336
-34.4982,239,27.965347
-45.129272,239,27.965358
-38.329712,239,27.965369
-46.872364,239,27.965379
-29.52055,239,27.965392
-36.34847,239,27.965402
-37.793434,239,27.965414
-21.87302,239,27.965424
-40.37299,239,27.965437
-25.96242,239,27.965447
-24.055462,239,27.965459
-18.92968,239,27.965469
-34.90891,239,27.965481
-37.399216,239,27.965492
-33.746193,239,27.965503
-24.319788,239,27.96552
-26.869053,239,27.965532
-29.71359,239,27.965544
-38.11291,239,27.965556
-38.630383,239,27.965567
-28.049156,239,27.965579
-45.810043,239,27.965589
-29.358475,239,27.9656
-31.37487,239,27.965611
-27.28815,239,27.965622
-22.413914,239,27.965633
-28.048185,239,27.965644
-2.5670555,239,27.965655
-35.831425,239,27.965665
11.7090645,239,27.965676
-44.782196,239,27.965687
-28.380112,239,27.965702
-40.167374,239,27.965712
-49.136303,239,27.965724
-32.358982,239,27.965734
-7.9046106,239,27.965745
-40.683903,239,27.965755
-37.76208,239,27.965767
-41.89596,239,27.965778
-36.63007,239,27.965789
-31.252382,239,27.965799
-44.61449,239,27.96581
-36.877403,239,27.965822
-39.998783,239,27.965833
-39.92136,239,27.965843
-39.697956,239,27.965854
-23.35057,239,27.965866
-39.054455,239,27.965879
-32.6249,239,27.965889
-27.12253,239,27.9659
-41.41145,239,27.965912
-42.479633,239,27.965922
-39.3442,239,27.965933
-38.63081,239,53.404932
-59.544632,239,53.405031
-37.60884,239,53.405049
-25.51693,239,53.405061
-24.972433,239,53.405073
-33.987854,239,53.405085
-38.86908,239,53.405096
-33.24135,239,53.405107
-25.158857,239,53.405118
-51.6602,239,53.40513
-39.933075,239,53.405142
-40.915535,239,53.405154
-32.471382,239,53.405166
-39.17356,239,53.405177
-28.938534,239,53.405189
-33.9608,239,53.405201
-34.74336,239,53.405212
-38.540665,239,53.405224
-33.96369,239,53.405241
-18.38041,239,53.405254
-37.94498,239,53.405265
-32.26327,239,53.405277
11.703338,239,53.405289
-45.49361,239,53.405302
-5.3844337,239,53.405313
-503.8684,239,53.405324
-30.703053,239,53.405335
-24.967678,239,53.405347
-33.767303,239,53.405359
-35.393986,239,53.40537
-36.331383,239,53.405381
-30.709618,239,53.405393
-39.13812,239,53.405404
-33.45865,239,53.405415
-42.592148,239,53.405426
-23.363028,239,53.405437
-26.304735,239,53.405448
-37.978447,239,53.405459
-31.204842,239,53.40547
-37.430412,239,53.405482
-35.56574,239,53.405493
-37.15276,239,53.405504
-44.156303,239,53.405518
-73.85808,239,53.405529
-30.3195,239,53.405542
-26.32727,239,53.405553
-41.301346,239,53.405564
-41.660748,239,53.405576
-28.60942,239,53.405587
-22.17387,239,53.405597
-42.74824,239,53.405608
-51.293346,239,53.405619
23.54817,239,53.40563
-11.956672,239,53.405641
-26.487406,239,53.405652
-35.271244,239,53.405664
-43.41086,239,53.405676
-29.310768,239,53.405687
-34.470528,239,53.405699
-34.456112,239,53.40571
-39.140335,239,53.405721
-25.164991,239,53.405732
-22.902863,239,53.405742
-43.292778,239,53.405753
-25.21715,239,78.90857
-49.393364,239,78.908672
-37.432632,239,78.908689
-39.006737,239,78.908701
-33.771416,239,78.908714
-39.382385,239,78.908725
-252.47969,239,78.908736
-45.234806,239,78.908748
-16.510649,239,78.908759
-21.694344,239,78.90877
-32.742237,239,78.908782
-19.556606,239,78.908795
-31.307787,239,78.908806
-44.329346,239,78.908818
-36.871082,239,78.908829
-40.504974,239,78.908841
-26.571455,239,78.908854
-30.738487,239,78.908865
-34.9112,239,78.908876
-27.82921,239,78.908888
-40.752087,239,78.9089
-31.055475,239,78.908912
-25.120855,239,78.908923
-41.87514,239,78.908934
-35.54705,239,78.908947
-28.588089,239,78.908958
-43.739292,239,78.908969
-1.1175578,239,78.90898
-44.150528,239,78.908993
-43.95568,239,78.909005
-41.72978,239,78.909016
-29.354053,239,78.909038
-35.20805,239,78.90905
-29.037354,239,78.909061
-44.25228,239,78.909072
-27.7074,239,78.909084
-39.749077,239,78.909094
-27.525354,239,78.909105
-35.212334,239,78.909115
-36.16328,239,78.909127
-30.35098,239,78.909138
-88.35414,239,78.909155
-33.725357,239,78.909166
-36.246628,239,78.909181
-38.38682,239,78.909192
-28.046337,239,78.909203
-31.165407,239,78.909214
-24.841885,239,78.909225
-37.121834,239,78.909242
-66.273766,239,78.909253
-32.601616,239,78.909264
-27.46631,239,78.909274
-35.756226,239,78.909286
-39.164898,239,78.909296
-40.076344,239,78.909307
-43.855347,239,78.909318
-40.53225,239,78.909331
-43.877163,239,78.909341
-36.410957,239,78.909351
-37.313564,239,78.909362
-44.8176,239,78.909373
47.42689,239,78.909385
-36.61073,239,78.909399
-41.095146,239,78.909414
