#{"t_start": 1707951265.1999075, "env_id": "None"}
r,l,t
-38.570545,490,149.629273
-42.72931,490,149.629838
-42.59363,490,149.629858
-43.269375,490,149.629873
-42.345543,490,149.629885
-42.5929,490,149.629897
-42.203648,490,149.629909
-41.831818,490,149.629922
-43.667904,490,149.629934
-43.648945,490,149.629946
-43.264416,490,149.629958
-43.233906,490,149.629969
-34.782,490,149.629982
-41.268173,490,149.629995
-44.98518,490,149.630006
-46.102043,490,149.630017
-42.43367,490,149.630028
-57.477028,490,149.630039
-41.88334,490,149.630052
-44.540085,490,149.630063
-43.24399,490,149.630082
-44.940437,490,149.630096
-40.94412,490,149.630108
-38.526295,490,149.630121
-42.410908,490,149.630135
-41.61305,490,149.630147
-43.65133,490,149.630158
-42.201584,490,149.63017
-43.108017,490,149.630182
-42.02622,490,149.630195
-40.541187,490,149.630206
-42.70384,490,149.630218
-42.63151,490,149.63023
-45.818726,490,149.630241
-43.21681,490,149.630253
-41.222023,490,149.630264
-44.915005,490,149.630276
-41.924328,490,149.630288
-43.40834,490,149.630299
-35.26103,490,149.630311
-43.416946,490,149.630323
-44.63293,490,149.630335
-41.560165,490,149.630347
-43.711994,490,149.630358
-41.43396,490,149.63037
-42.22609,490,149.630381
-42.931633,490,149.630393
-43.693317,490,149.630404
-39.085716,490,149.630416
-45.633358,490,149.630427
-44.028515,490,149.630438
-43.308285,490,149.63045
-43.83224,490,149.630461
-43.11851,490,149.630472
-43.871937,490,149.630483
-42.61461,490,149.630495
-44.50367,490,149.630506
-42.86154,490,149.630518
-41.7188,490,149.63053
-44.846447,490,149.630542
-45.37763,490,149.630553
-40.95987,490,149.630564
-42.354378,490,149.630575
-40.515297,490,149.630586
-43.00967,490,297.396971
-43.00967,490,297.397083
-43.00967,490,297.3971
-43.00967,490,297.397114
-43.00967,490,297.397126
-43.00967,490,297.397138
-43.00967,490,297.39715
-43.00967,490,297.397161
-43.00967,490,297.397173
-43.00967,490,297.397184
-43.00967,490,297.397196
-43.00967,490,297.397207
-43.00967,490,297.397218
-43.00967,490,297.39723
-43.00967,490,297.397241
-43.00967,490,297.397253
-43.00967,490,297.397264
-43.00967,490,297.397275
-43.00967,490,297.397286
-43.00967,490,297.397298
-43.00967,490,297.39731
-43.00967,490,297.397321
-43.00967,490,297.397333
-43.00967,490,297.397344
-43.00967,490,297.397356
-43.00967,490,297.397367
-43.00967,490,297.397379
-43.00967,490,297.397391
-43.00967,490,297.397403
-43.00967,490,297.397414
-43.00967,490,297.397425
-43.00967,490,297.397437
-43.00967,490,297.39745
-43.00967,490,297.397463
-43.00967,490,297.397474
-43.00967,490,297.397485
-43.00967,490,297.397496
-43.00967,490,297.397507
-43.00967,490,297.397518
-43.00967,490,297.397529
-43.00967,490,297.397541
-43.00967,490,297.397552
-43.00967,490,297.397563
-43.00967,490,297.397574
-43.00967,490,297.397586
-43.00967,490,297.397597
-43.00967,490,297.397608
-43.00967,490,297.39762
-43.00967,490,297.397631
-43.00967,490,297.397642
-43.00967,490,297.397653
-43.00967,490,297.397664
-43.00967,490,297.397675
-43.00967,490,297.397686
-43.00967,490,297.397698
-43.00967,490,297.397709
-43.00967,490,297.39772
-43.00967,490,297.397731
-43.00967,490,297.397742
-43.00967,490,297.397754
-43.00967,490,297.397765
-43.00967,490,297.397776
-43.00967,490,297.397789
-43.00967,490,297.397799
-43.00967,490,445.19143
-43.00967,490,445.191532
-43.00967,490,445.19155
-43.00967,490,445.191564
-43.00967,490,445.191576
-43.00967,490,445.191587
-43.00967,490,445.191599
-43.00967,490,445.191611
-43.00967,490,445.191622
-43.00967,490,445.191634
-43.00967,490,445.191646
-43.00967,490,445.191658
-43.00967,490,445.191669
-43.00967,490,445.19168
-43.00967,490,445.191692
-43.00967,490,445.191703
-43.00967,490,445.191714
-43.00967,490,445.191726
-43.00967,490,445.191737
-43.00967,490,445.191749
-43.00967,490,445.19176
-43.00967,490,445.191772
-43.00967,490,445.191783
-43.00967,490,445.191795
-43.00967,490,445.191807
-43.00967,490,445.191818
-43.00967,490,445.191831
-43.00967,490,445.191852
-43.00967,490,445.191864
-43.00967,490,445.191874
-43.00967,490,445.191885
-43.00967,490,445.191895
-43.00967,490,445.191905
-43.00967,490,445.191916
-43.00967,490,445.191926
-43.00967,490,445.191936
-43.00967,490,445.191947
-43.00967,490,445.191958
-43.00967,490,445.191969
-43.00967,490,445.19198
-43.00967,490,445.191991
-43.00967,490,445.192001
-43.00967,490,445.192012
-43.00967,490,445.192023
-43.00967,490,445.192033
-43.00967,490,445.192043
-43.00967,490,445.192054
-43.00967,490,445.192064
-43.00967,490,445.19208
-43.00967,490,445.192092
-43.00967,490,445.192102
-43.00967,490,445.192113
-43.00967,490,445.192123
-43.00967,490,445.192134
-43.00967,490,445.192144
-43.00967,490,445.192154
-43.00967,490,445.192165
-43.00967,490,445.192176
-43.00967,490,445.192186
-43.00967,490,445.192197
-43.00967,490,445.192207
-43.00967,490,445.192218
-43.00967,490,445.192228
-43.00967,490,445.192239
-43.00967,490,592.962997
-43.00967,490,592.963097
-43.00967,490,592.963118
-43.00967,490,592.963134
-43.00967,490,592.96315
-43.00967,490,592.963165
-43.00967,490,592.963181
-43.00967,490,592.963196
-43.00967,490,592.963213
-43.00967,490,592.963231
-43.00967,490,592.963248
-43.00967,490,592.963264
-43.00967,490,592.96328
-43.00967,490,592.963295
-43.00967,490,592.963311
-43.00967,490,592.963326
-43.00967,490,592.963342
-43.00967,490,592.963358
-43.00967,490,592.963373
-43.00967,490,592.963389
-43.00967,490,592.963404
-43.00967,490,592.96342
-43.00967,490,592.963436
-43.00967,490,592.963451
-43.00967,490,592.963467
-43.00967,490,592.963482
-43.00967,490,592.963498
-43.00967,490,592.963513
-43.00967,490,592.963528
-43.00967,490,592.963544
-43.00967,490,592.96356
-43.00967,490,592.963576
-43.00967,490,592.963591
-43.00967,490,592.963606
-43.00967,490,592.963622
-43.00967,490,592.963638
-43.00967,490,592.963654
-43.00967,490,592.96367
-43.00967,490,592.963686
-43.00967,490,592.963701
-43.00967,490,592.963717
-43.00967,490,592.963732
-43.00967,490,592.963747
-43.00967,490,592.963763
-43.00967,490,592.963778
-43.00967,490,592.963794
-43.00967,490,592.963809
-43.00967,490,592.963825
-43.00967,490,592.96384
-43.00967,490,592.963856
-43.00967,490,592.963871
-43.00967,490,592.963886
-43.00967,490,592.963902
-43.00967,490,592.963917
-43.00967,490,592.963932
-43.00967,490,592.963947
-43.00967,490,592.963963
-43.00967,490,592.963978
-43.00967,490,592.963993
-43.00967,490,592.964008
-43.00967,490,592.964024
-43.00967,490,592.964039
-43.00967,490,592.964054
-43.00967,490,592.964075
-43.00967,490,740.657004
-43.00967,490,740.6571
-43.00967,490,740.657116
-43.00967,490,740.65713
-43.00967,490,740.657141
-43.00967,490,740.657153
-43.00967,490,740.657164
-43.00967,490,740.657175
-43.00967,490,740.657186
-43.00967,490,740.657197
-43.00967,490,740.657208
-43.00967,490,740.657219
-43.00967,490,740.65723
-43.00967,490,740.657242
-43.00967,490,740.657253
-43.00967,490,740.657264
-43.00967,490,740.657274
-43.00967,490,740.657285
-43.00967,490,740.657296
-43.00967,490,740.657306
-43.00967,490,740.657318
-43.00967,490,740.657329
-43.00967,490,740.657339
-43.00967,490,740.65735
-43.00967,490,740.657361
-43.00967,490,740.657372
-43.00967,490,740.657383
-43.00967,490,740.657393
-43.00967,490,740.657404
-43.00967,490,740.657414
-43.00967,490,740.657425
-43.00967,490,740.657438
-43.00967,490,740.657449
-43.00967,490,740.65746
-43.00967,490,740.65747
-43.00967,490,740.657481
-43.00967,490,740.657491
-43.00967,490,740.657502
-43.00967,490,740.657512
-43.00967,490,740.657525
-43.00967,490,740.657535
-43.00967,490,740.657546
-43.00967,490,740.657556
-43.00967,490,740.657567
-43.00967,490,740.657577
-43.00967,490,740.657588
-43.00967,490,740.657599
-43.00967,490,740.657609
-43.00967,490,740.65762
-43.00967,490,740.65763
-43.00967,490,740.657641
-43.00967,490,740.657652
